sentence_id	sentence	sentence_domain	source
01e0b79825421611fd0f9db8b270b2a26b589d1d852658c89dcd41496db359d6	Mustaphagantaka da aka danganta da amincin gaba daya tabbas zai gagara.		Translators without Borders Gamayun kits
0d5d1cfbd7b91bc7b337bac7cf5fbfa1898ae629640adf0306b375ce1592b6d4	A bangarena ina fatan ba a zabi mikiya mai sanko ta wakilci kasarmu ba.		Translators without Borders Gamayun kits
0dc953cbbf203b4971bc0821d737d92ba307e6a089a268752e72f9f762d5c033	Jauro watakila bai san yadda Khalifat ta tsane shi ba.		Translators without Borders Gamayun kits
0ec1689de1d5464f62ecb59461d77a5a0d339f590cee5c0b5a66b5c743e2ba67	Olivar ya kasa yadda da Khalifat ko da na dakika daya.		Translators without Borders Gamayun kits
25ee1260a0565065e73fb606807fbf278c37cf28fd755f53c7a0fd7af7176a1b	A karshe kuma za ku tafi Austarlia tare da Alikoaa?		Translators without Borders Gamayun kits
324ba5891b412eb57fb4fadfbb7049b53b8f81b8e0d03e78d8c114aad864a40e	Wannan wane irn wasa ne?		Translators without Borders Gamayun kits
34e7a50829e6ef1f5ca066f174e2d57991bd976108546a8c2b71ef65b4832099	Mahifina na aiki a kamfani.		Translators without Borders Gamayun kits
450f2484033482068688ed57a2c99f4be9882d6ab5a3fa86f82078476169cf34	Idan ka cigaba da yin hakan Aliyu zai yi maka fada.		Translators without Borders Gamayun kits
469f4af2f20c63413e7a817c0ba5225fc817e710b8e5444aab1a025024c2f736	Hafsat ba ta taba gaya wa Ibrahim tana sonsa ba.		Translators without Borders Gamayun kits
46d147f18d2b96ba7ca795711208165e236895d79d3059ad9b51131cf1636aca	Ba ku taba kiransu ba?		Translators without Borders Gamayun kits
4863da54c12336d61b16a09556db50d2d594c5da0bf6df593fc4c5376061b2ee	Za a nuna guntu fim a yayin bude taron.		Translators without Borders Gamayun kits
4991b7439b22fc3a9068eec17c37cd7678a591d23d0a88b973858d2932668832	Sahun ƙafar sa ya nuna cikin dusar ƙanƙarar.		Translators without Borders Gamayun kits
4a7b4971cac93e5c373f2cc2f66147b2e769ee65b6d34acfef2312f6e18acd46	Habibu ba matata bace, matar abokina ce.		Translators without Borders Gamayun kits
4b861c5d4a2b743bc99561e5860eeb969bf39254332f750e49cd9fe0bc5a308a	Kwanannan, Ina yawan tashi cikin dare, saboda haka kamar ina fama da rashin bacci.		Translators without Borders Gamayun kits
4cae1a4bca87f22f1a2ca1f30b6d45530c281810093466eb90a7e6a14c2152e6	Ba wanda za a tilasta wa shiga wata kungiya. 		Universal Declaration of Human Rights
4ccfbaac0df9c02c7b0abe330c33024ceb835079f9a480ac2e3e46554ffb48fa	Bada jimawa ba, mugun iskan arewa zai fara busawa.		Translators without Borders Gamayun kits
4ce82d01fc2ad4706a51a9075ce2d0a83c9f98129176045fc502c96a24f1347c	Ba mamaki Jauro zai yi waka a wajen bikin ku.		Translators without Borders Gamayun kits
4d031e9a1779ae81f12499bf16036d2ca202a0bec5a762da505a08b94070d9de	Ina tsoron bears.		Translators without Borders Gamayun kits
4d6e2a4aef43f3d6ebdeb28b310c4601f7938e8f85002f745186c06d73327064	Matsoroci ya na mutuwa sau dubu, jarumi na mutuwa sau daya kawai.		Translators without Borders Gamayun kits
4dcb69675cee9c57de609cf90600c9fa86844f649a8b18cd6712f4c3dd90ff9b	Musa ya seyar da ƙwayoyin ga mugayen dillalan sayar da ƙwaya.		Translators without Borders Gamayun kits
4fdf56f6be5f2a7ea502d4f68c3d2a6169b19fba5c2a28ad1d31939bfb5eed44	Meyasa Abdullahia ya cika yi mana gadara?		Translators without Borders Gamayun kits
4fe873e0af08b7f22b817a321d30483bc8951ccf8bf10e9e943af5be3158cc24	Na ji wasu 'yan mata suna magana game da Habibuu.		Translators without Borders Gamayun kits
5058459de54a42302b9fb568b9f64cb5f6f0142cfd0adc10844d451dedcbb2b6	Muna sane da hadarin.		Translators without Borders Gamayun kits
5081d820ad318741db9e60c3bf4cc42aa352a1e120efaf4278f5d6881516e763	'Yan Amurka suna biyan harajin k'asa da na jiha duka.		Translators without Borders Gamayun kits
51f144d5d2a4db74453e75025a57f5bcbfbf1d519a25f00e6fb7f21054861689	Tsunstu, alal misali, na da naurar kariya na musamma.		Translators without Borders Gamayun kits
5268ce1102d0132c6df52d26e23c805ce3e356c854364a675aa51a3adee33491	Ta saka zoben lu'ulu'u a yasun ta na hannun hagu.		Translators without Borders Gamayun kits
528220ae3e3ed83903e56bbbedfce9597487fbaa6b5fce2a621d043549e86599	Karya Tijjani ya yi kan hakan.		Translators without Borders Gamayun kits
5303f5388f1860250daf22dd012e0be7e136e447d957f7f82756cefa09e15340	Kasan, bai yi kama da zamu sayar da abiubuwa ba.		Translators without Borders Gamayun kits
53ddc3cf3ef7aa73b7c527d3d43d12bea0c10847d41766401bf48e7051dc932e	Na dade ina jiran faruwar hakan.		Translators without Borders Gamayun kits
5401d4c2234c2a156f154ee532bd73d9e9f30ea9a614e204ae884c1a3feddbbf	A ƙarshe ya kashe kansa ta hanyar faɗi akan takobin nasa.		Translators without Borders Gamayun kits
544f7cbf75b5f95efd5fbdc1269473c2510eb6657ae5c9f884f63d8dd18a1c2e	Shwarar da ku ka yanke ta yi sauƙi da yawa.		Translators without Borders Gamayun kits
54bb86eb4824e0188a58c7973e48f12d39f7309930eb41ca6f64dd34d1d54429	Da Valantina za ta iya haka da kanta idan ta samu karin lokaci.		Translators without Borders Gamayun kits
55043c167dca6892df12a5a440bb5453659c673ee2a4e9a58ecfbf52d0799255	Lokacin bazara, kwai na saurin lalacewa.		Translators without Borders Gamayun kits
5615d2386bf8c1a90cc7971c2625e27ea440d000100e0d0559d34908217909b7	Ayya, gasasshen burodin ya kone.		Translators without Borders Gamayun kits
5622a49099db424775b06511ab02c7b38bd4f09895439e3043c47e2bd1e79213	Tijjani ya kare kusan rayuwarsa baki daya a Boston.		Translators without Borders Gamayun kits
56a36d18aba1794c29a74df42f1657a3f125b97a47df1840218acd46b1605f3f	Ka yi hakuri mun barka kana ta jira.		Translators without Borders Gamayun kits
571e48e564312f27faf30f1b98cae5eb8765662cb3de9370685336000f59c614	Habibu ya gaya mani cewa yana tunanin Asabe ya kware a dafa abinci.		Translators without Borders Gamayun kits
59725aa0c52f819be2d3c0f157c0702e60f5998843e6745ebae835fc85e588f2	Hassana ya bayyana nan take kamar mai ceto da ya tuki yazo ceton ta.		Translators without Borders Gamayun kits
597cd50fdb56d9d14c08c99190d26575bc915e23fb05a3273719b21138c73c3b	Rikicin bayan zaben ya jawo rasa rayuka biyar.		Translators without Borders Gamayun kits
59cea90f9f2aeff5c616b700908eb225062c35ce123a86acf2eae04c884d3b5d	Yusuf yayi farin cikin yi haka.		Translators without Borders Gamayun kits
59de07c1d773612ba8be08aad3620f4305978f76a2adfa1e174ecd7881cd2f83	Ishaku zai iya manta alkawarin da yayi.		Translators without Borders Gamayun kits
5a2ca3f4e1aa0536cad8f587ff10dea8d8240eb0b362b775f81a5b5ec83d0fc3	Brutarfin mugunta ya lalata birnin.		Translators without Borders Gamayun kits
5bbb7c7f16c8fe52f4abf78f5b0a77c1c321ec6a328ff340d297633fdd450e0d	Kai ne mutumin da na sani kadai da baya iya magana da faransanci.		Translators without Borders Gamayun kits
5d2327e6d7e04b2c98e49ad18d47e0dd2d3a9dfdf8888876d34e405fa7aadafb	Da gaske yake kan alkawarin da ya yi.		Translators without Borders Gamayun kits
5e2a5795c4f9bf5cf71a3c433e27ae9a5c701c239df01427a0ef4f8e58682d34	Ban jidadin abinda na yi ba.		Translators without Borders Gamayun kits
5e7d1f4fd94bfb1d7a70ab3d7bea24ba799585f9a8bac8ab9c91f17fccf67c71	Ban sani ba ko Ishaku na da karfin da zai iya yin haka.		Translators without Borders Gamayun kits
5e8a208fa1e7384834bb6c7d6af1463e35b689d3801a9d38d184507d747c6a1f	Yusufa na da gida me wajen ninkaya a ciki.		Translators without Borders Gamayun kits
5f4fdfe755e4cdd0d493da45bd50bb2e288e2c6f93bb035327f52a343450dd58	Duk da sho yaro ne, ya bi a hankali.		Translators without Borders Gamayun kits
605fe1094eb74dadc4482d39277d86d576e175df243c1e12ffd203b6055d6deb	Byanan da aka tattara ba su da amfani gaba daya.		Translators without Borders Gamayun kits
6185521933923de65f5929f5b258a5bc255936f68feeac39fafdccdb23171815	Aisha ta faɗa miniz ata sake zuwa.		Translators without Borders Gamayun kits
61ed044a7cb20ee980e375ef960cf6e0fc662247e70982a6838d2f3baf0423e0	Ina ga Ibrahim ya sami sauki.		Translators without Borders Gamayun kits
626c748ec57029eb910456a80d1e5a672d2737a90f4ff9e778d9a4b0fd5c8a41	A mikakken wuri, menene yawan kasar da za a cire domin yin rabin rami?		Translators without Borders Gamayun kits
627ceaf61bd4cd319ba03e0b4b3891a016a331353c4ccb464cece0b1983e0778	Zan iya baki rabin burodin nan idan kina bukata.		Translators without Borders Gamayun kits
6461ac94ff32b84bc8214fa3e9ccda6a50d4df74608f40f6f1face89a6ef6fe2	Anyi rikodin ganawar akan bidiyo kuma an yada a yanar gizo.		Translators without Borders Gamayun kits
648b3c55660d22e2b815d1d3cf7b7c7c421b3606e26402ebf063c4899ae930c0	Idan ana maganar farfesa Smith, mataimakinsa yana da wahalr ji.		Translators without Borders Gamayun kits
6568abcab964b783e1fff133b2bc7e375da0a5570a24c44c5638d3b8fbc1b8ce	Bitrus ya ji haushi saboda Hamsatu ta ki taimakonsa.		Translators without Borders Gamayun kits
65cb8d45fe7d1ea959cc13ddabe0900592aacd8081bf13dbff7130f8248fc66a	'Yan mata da mata, maraba a kan jirgin.		Translators without Borders Gamayun kits
677869af5bca59289648f546faade64ba994d08cca31e76939c5fdc8b240b34a	An bawa Hassan damar ya tsayawa.		Translators without Borders Gamayun kits
689f23c45c269ee02c73c61671754b72f5e5c4d650470e4bd3d179a16ce0b4f0	Na yi tsammanin ka ce kana ta aiki gabadayan safiya.		Translators without Borders Gamayun kits
69a3a1e04068cf67051e112f05d472c81cd79c8dda0ba2cce7bf8e80b4ed54c2	Kafa biyu ya hana Jalal smun inda ke su ya harba.		Translators without Borders Gamayun kits
6ad14cd4f85a6f946f2555843dc282e40438e56f40d54c43e732065c3d487e22	Rifkatu ta fada min ta kammala hakan.		Translators without Borders Gamayun kits
6ad6235abdd049b5fd6fbdc678fb4733a8ee76c08b5b96ff3a135dcf114a2f21	Aliyu ya shigo dakin taro, tare da wasu takardu.		Translators without Borders Gamayun kits
6ccf89340075bc1631855660dacd025c0257d1ea561210fbc4fdb519d1ca4fe2	Babangida ta ce ta ji sauki sosai yau fiye da jiya.		Translators without Borders Gamayun kits
6e0e48caa0717a35a3299c099971945e52b618950d4a9af41c0b7900e1606fc7	Nan take guguwa ya shigo kuma kwale-kwalen ya bacce.		Translators without Borders Gamayun kits
6e1e964cc2d1f8e4f4d9102f6dd22c80bd5acd1672618c3b7aaf829740c59991	Hassan bai taba ganin Hauwa ta yi murmushi ba.		Translators without Borders Gamayun kits
6e38b3238f7596f3498244670b80726499215424f4c3195129c7fb689ad8a713	Babangida ya yi mamakin yadda ran Laretu ya baci.		Translators without Borders Gamayun kits
6ec8af057ce437a8e411f47c92a5699cae4ca406f800d3eee112f06283dd504a	Na fara gajiya da korafin Jami ko wane lokaci.		Translators without Borders Gamayun kits
71285c0b20b4bdde39daa2238d499df5dac6788e6910f28ee908c91702f86ef3	Ta dauki kyauta ta farko a tseren.		Translators without Borders Gamayun kits
71cfaac90c5bac213bb2ee5527f653ee3d18a47a09b3d72ca7f4706c3b54a38f	Da karfe bakwai zan dawo.		Translators without Borders Gamayun kits
74428dc99226ab4ba2c0c7a4d5f9131948564406eb00a12bbe70b028977ddfb3	Kowane lokaci fyade laifine na tashin hankali.		Translators without Borders Gamayun kits
745d0a5da6ee449b96f0831572e2ed24c2c058399612d03657ac016dcaee7e70	Na dauka bata cikin hayyacinta.		Translators without Borders Gamayun kits
74d0fef6f802dfd14838eaa379f4c2380f93f06250c082a0d152eac9b4a2c209	Za a iya dakatar da wani uzurin kudin.		Translators without Borders Gamayun kits
74d6e3545debc71d7e05bf9959efc23b12b2220b729cc837fe4f803d2f9366df	Tsarin na amfanar da taron mutane kadan ne sauran su yi hakuri.		Translators without Borders Gamayun kits
74ee936964e9a4800a49d14f6204079ce1dfe0f412523a2be9394220ec7a4112	Basani ba ko Habibu da Maimuna suna da rai har yanzu.		Translators without Borders Gamayun kits
7509c39c0ed2f1ef30bf9f66386da88c2d126bf660723145fa56eb7168b82ee8	Babangida Babangidason ne ya ɗauki nauyi.		Translators without Borders Gamayun kits
75aefc7791e0d85db2761fbaddbadc173701883571d836a78344dc8a27808460	Falmata na magana da kanta idan ta kasance ita kadai.		Translators without Borders Gamayun kits
76526815ef8b2566c76f1ba51c641526763fcb2ee5dea2222794a34693917eaa	Har yanzu ina tunanin Babangida da Rifkatu na boye wani abu.		Translators without Borders Gamayun kits
775f2673881c72da424b5bad45b97a4644cf6747af3accced741a7d21b4f902b	Yanzu naaji sauki sosai.		Translators without Borders Gamayun kits
779869f67b176447369de850c9adbaa768d8b6b3cbac1b9d71fec262d5011405	Dole mu daina kona gandun dajin mu, saboda shine tushen iskar da muke shaka.		Translators without Borders Gamayun kits
77d07880270d67d1f6d7311971bfab3997a0d2623dfe263ecdacd6c1a25e39df	Mokina, yi adu'a kashi shigo.		Translators without Borders Gamayun kits
77e76ccc4130e399fb4c5494fc5eeaeb0cce96eec5da02514659c943294f425b	Ibrahim ya fada mini ya zaci Hadiza kyakkyawa ce.		Translators without Borders Gamayun kits
7875508f09dacc8a8985c6e10d96b4d7224909474838d7a76f83ed9a2e9233a3	Ta bugi babbar maciji da sandan wasan yara na filastik.		Translators without Borders Gamayun kits
7920207877fc171e6a9af80898a35a7d5e4a843bf8eb16f2bf9970cd3346e78b	Aliyuyy ya sayi daurin salad. Nan ne Taxas. Ka yi dauri biyu.		Translators without Borders Gamayun kits
79599a972514ef42cb80e60f270792d0d23c25e76a49074ad75fc951dd30e5e9	Fasinjojin da ke jirgin kasan ba su da yawa.		Translators without Borders Gamayun kits
7972f1ee31d9c8b37c88287a51fb14ad84f396623aa84e66438311ac639a92f3	Ishaku ba za je ba, sai in yana so.		Translators without Borders Gamayun kits
7983e3f259ec99cde529f81eb985b06437d0958a66c068d3007a446532041030	Ina mai baka hakuri kan hakan Aliyu.		Translators without Borders Gamayun kits
7a40206aa63888883eb87557ffa5cf183d7e466bab8debf9d74b35d781a4e5e5	Ina fatan Kaka za ta su kyautar.		Translators without Borders Gamayun kits
7bedaaecd79fc66362b355a1adb313dff27c8da33f6f8cf86c985e3743417f47	Na kan kasance tare da ku lokacin bazara baki daya shekarar.		Translators without Borders Gamayun kits
7c5e66379f4627026dfec1a9463ee56635aa4e8ccbec18cbeb3adace64f34214	Jauroa ya faɗa minibai san me yasa Hafsat ta tafi ba.		Translators without Borders Gamayun kits
7c988b9ef4c424528fa18038cf283fdefd6af4e3183fb045b3767984e2b397d8	Mun zabar mata kyauta mai kyau ta zagayowar ranar haihuwarta.		Translators without Borders Gamayun kits
7c9fdce49ce5637b4e66300e839872de0daabe0df49c3cb96a0faa8adadf766f	Aliko bai san Falmata na kulob din ba.		Translators without Borders Gamayun kits
7d2ce7b56354185a51805b0921ce99d139a3e3a24fa0bb9d95725e5a98c99dd7	Ishaku ya ce ya tona ya taba zuwa can.		Translators without Borders Gamayun kits
7d3e52d36d670470c40aee06956d26544f126bfebe79386332abed5b0dc29bd0	Masu wakar opera za su fara da karfe bakwai.		Translators without Borders Gamayun kits
7d84abcbbf7eb5fc62d3dad6b821afcd276b4e38100fde9a80a011d16362201f	Kar ka daamu!		Translators without Borders Gamayun kits
7f3b6ca0a4f2273e4da08b2daa6857398143928da99d87d34ee39c6bf64856e2	Karfin tattalin arziki ko sojoji, a wannan yanayi, bai da mahimmanci kamar daukakan wasanni.		Translators without Borders Gamayun kits
81540d17cec69bb375a540048337581f4a2f088fd0d6579fab7773264a191ec5	Ka tuna dai, ba za ka iya takama da kwalkwalwan ka da kake yaro.		Translators without Borders Gamayun kits
81d7e9054e2478e169ea689a3003531a8675fd9b422871844267abe241252854	St Babangida's yana Rome kuma St Abdullahi yana London.		Translators without Borders Gamayun kits
81f31026a73a1212d3cc51ab835f44324b8d5155bd49f00236b2a41d34c1c4f5	Linda zata dafa mana shayi.		Translators without Borders Gamayun kits
831c2c771fcf1ba7a684a02399204cad31196a42e667c230a50a9d3e1bef7ae7	Za ki dan miko min gishiri?		Translators without Borders Gamayun kits
83420974265dd8daa361646682c8c736945d0a2f4f1046a45a71e6c33e435322	Musamman Halinsu na renon yaransu ba yaddaya aka sababa ba.		Translators without Borders Gamayun kits
84a26ccda08519905b8b207a820aaff15fda342b601ba743acad91f89f385bd0	Ba wani horo na musamman dke buƙata game da kunna injin nan.		Translators without Borders Gamayun kits
85c565ac7abc4d4477cbf7a0b272e4d4c1936650ffea1aebeeda7ccf2377f892	Maimuna baza ta iya yi da kanta ba.		Translators without Borders Gamayun kits
86e0962c1e39b21c388184e16a1e8ba8773d2bd4516f3723f3478efe64f29cf0	Ƙasar Amurkan wani bangare ne na Kwamitin Tsaro na Majalisar Dinkin Duniya.		Translators without Borders Gamayun kits
87e044acc3b26d98b1f983a265dcb17c51ba4f40be1861230d081c0c1e159d9c	Abokanta ba zasu bazai iya taimakawa da damuwa game da raunin ta ba.		Translators without Borders Gamayun kits
88ab9b5470bdda5ec794434b0e1df6067a457db2cbde4cb66d1601014cda2c05	Falmata ta yiwa Ibrahima alkawarin halartar fatinsa.		Translators without Borders Gamayun kits
897329c0fafa5eaa59ecde8359b5cf3336f656e2abcaae593297d46270050db8	Mahaifiyarta ta kwankwasa kofar.		Translators without Borders Gamayun kits
89d0df86c5266607ad021391c35df3950c51e599f687a9b994554ef6d98105ee	Na tuntubi iyayena mata.		Translators without Borders Gamayun kits
8a71a5105c02bb866c04e75a62a38b66c6b8d00c927d11425346713e877ce6d3	Aliyu ya lullube da bargon a kafadun Zainab.		Translators without Borders Gamayun kits
8b74608cd50045c9d27cd935258bc9d82d51aec2e7d1d4e21ffc52d046374835	Cinikayyar kasar da kasashen waje ya dogara ne ga wannan tashar jirgin ruwan.		Translators without Borders Gamayun kits
8e8cdf72f26ffb22481d3352a65ec5d7868620a3bbbc251dcc5ac046184818a0	Mataki na bakwai 		Universal Declaration of Human Rights
8ef02022c05e2ba026ec5505b4a0603d08213fe79600224fbfdc6433ff066bfe	Ban yi kokarain amsawa ba.		Translators without Borders Gamayun kits
8ef5ae75201b86721f0cc7011564bb00b18b9e1a386dad085d4e776aaf7cc5cd	Tilas ne ga kowa ya yi karatu a cikin azuzuwan farko. 		Universal Declaration of Human Rights
904865851d58b981646c4c056c87debd4415e3737d03cb03a54ae2549466e427	Sara ta dauki hotuna kan tsaunin nan lokacin bazara.		Translators without Borders Gamayun kits
907dc71d355e6ce874532cba1b72a2aed2c0c3ab420d889f087308307a401cb5	Ya aka yi Jcob ya shigo nan?		Translators without Borders Gamayun kits
90f872132c7ceb14b38e45d6b90560c832d7ec5856225259b61366718ce5e78c	Na tuna haduwa da ita wani wuri.		Translators without Borders Gamayun kits
9102fc8991a614ccaa0e755e1f6377343767089d7d6255ce950b91b7a9aaee11	Yaushe ne gudin gidan hayan ku zai kare?		Translators without Borders Gamayun kits
915f4e29ef939eb58380c2233c30226c5854d02dc5e226ce2aaac4a9906483db	Daga jin karan sawun kafan dodon, sun fara gudu ta ko ina.		Translators without Borders Gamayun kits
925135c12608bd4ca7f13cb0ce42a5d6196c2582a00f41fa8c367360a2804bee	Ba a taba sumbata ta irin haka ba.		Translators without Borders Gamayun kits
9276585f12c1905db405a01bd9460d2f2110afdfbfaa645ddb6d454851964a17	Za ku dan bamu waje na yan dakiku?		Translators without Borders Gamayun kits
928e9ccbc4ac53a37ee7864c82fa81540ad347b3b062941947b7e620b3529579	Hassan ya ce Amsa ta kulle kofa.		Translators without Borders Gamayun kits
94ca01447ce047f1c65548e66380cd70d05978b5837a08602d0475641f23f2de	Shalkwatar mu na ɗaya ɓangarn birnin.		Translators without Borders Gamayun kits
